Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
ELEC,Amazon - Obidos/Rufus,550 Terry Ave N,,Seattle,WA,98109,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,47.62395,-122.33707799999999,2015-01-30,61020,2015-01-30 08:12:42 UTC,,,,,,,,,J1772
ELEC,"Walgreens - Clinton, UT #2519",1962 W 1800 N,,Clinton,UT,84041,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,41.1398688,-112.0632572,2015-01-30,43379,2015-01-30 08:34:42 UTC,,,,,,,,,J1772
ELEC,MERCER ISLAND,8236 SE 24TH STREET,,Mercer Island,WA,98040,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,47.5900154,-122.2285461,2015-01-30,43302,2015-01-30 08:39:50 UTC,,,,,,,,,J1772 NEMA520
ELEC,NATIONAL GRID,997 Loudon Rd,,Cohoes,NY,12047,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.770945,-73.753012,2015-01-30,52806,2015-01-30 09:09:46 UTC,,,,,,,,,J1772
ELEC,AUTO CLUB GROUP,783 S Orlando Ave,,Winter Park,FL,32789,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,28.5909042,-81.3660965,2015-01-30,42140,2015-01-30 08:59:09 UTC,,,,,,,,,NEMA520 J1772
ELEC,Ehrlich Nissan,2625 25th Ave,,Greeley,CO,80634,,970-353-5333,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,,,200-8,40.3946842,-104.7220636,2015-01-06,46537,2015-01-06 17:47:53 UTC,P,,,2012-01-31,,,,,J1772 CHADEMO
ELEC,CITYZEPHYRHILLS,5335 Eighth St,,Zephyrhills,FL,33542,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,28.2352886,-82.1812439,2015-01-30,43149,2015-01-30 09:00:19 UTC,,,,,,,,,J1772 NEMA520
ELEC,Port of San Diego-Imperial Beach Parking Lot,"3165 Pacific Highway, Palm Avenue & Seacoast Drive",,Imperial Beach,CA,91932,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,32.5839,-117.131718,2015-01-30,49120,2015-01-30 08:11:18 UTC,,,,,,,,,J1772
ELEC,THE BOEING CO,2060 E.Imperial Highway,,El Segundo,CA,90245,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,33.9283012,-118.3896499,2015-01-30,60470,2015-01-30 08:52:03 UTC,,,,,,,,,J1772
ELEC,Kroger Store #518,5665 E. Mockingbird,,Dallas,TX,75206,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,32.837337,-96.770536,2015-01-30,47517,2015-01-30 08:09:38 UTC,,,,,,,,,J1772
ELEC,15 LLC,"3575 Piedmont Road, Building 15",,Atlanta,GA,30305,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,33.852522,-84.380658,2015-01-30,51789,2015-01-30 08:12:44 UTC,,,,,,,,,J1772
ELEC,Wayne State University - Parking Structure #4,555 E Canfield,,Detroit,MI,48202,,313-577-1979,E,,Public,Garage business hours,,,,,,1,,,,,GPS,42.3559279,-83.055206,,64731,2015-01-16 20:11:00 UTC,P,,,2014-11-15,,,,,J1772
ELEC,Waikiki Sand Villa,2375 Ala Wai Blvd,In front of hotel lobby,Honolulu,HI,96815,,808-922-4744,E,,Public,24 hours daily; see hotel valet,,,,,,1,,,,,200-8,21.278842,-157.823158,2015-01-06,49009,2015-01-06 17:46:05 UTC,P,,,2012-06-30,,,,,J1772
ELEC,RENAISSANCE TWR,1201 Pacific Ave,,Dallas,TX,75223,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,32.7819816,-96.8019686,2015-01-30,60349,2015-01-30 09:11:24 UTC,,,,,,,,,J1772
ELEC,Piolax,139 Etowah Industrial Court,,Canton,GA,30114,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,4,,,Blink Network,http://www.blinknetwork.com/,GPS,34.2455859,-84.471847,2015-01-30,52365,2015-01-30 08:12:36 UTC,,,,,,,,,J1772
ELEC,Roush - Naples,3538 Plover Ave,,Naples,FL,34117,,239-963-1047  ,E,,Public - Card key at all times,24 hours daily; network card required,,,,,,3,,,,,GPS,26.15823,-81.674971,2015-01-06,51257,2015-01-06 17:47:37 UTC,P,,,2013-03-15,,,,,J1772
ELEC,Brown & Howell LLC Sunbrite Corner,1590 E Bethany Home Road,,Phoenix,AZ,85014,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3,,,Blink Network,http://www.blinknetwork.com/,GPS,33.5239431,-112.0478898,2015-01-30,45222,2015-01-30 08:10:20 UTC,,,,,,,,,J1772
ELEC,KIRKLAND,348 Kirkland Ave,,Kirkland,WA,98033,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,47.6757469,-122.2029724,2015-01-30,57447,2015-01-30 09:01:11 UTC,,,,,,,,,J1772 NEMA520
ELEC,Honda Motorwerks,500 4th St,Located on the west side of the building.,LaCrosse,WI,54601,,608-784-9280,E,,Public,24 hours daily,,,,,,1,,,,,200-8,43.808262,-91.252255,2015-01-06,53703,2015-01-06 17:48:20 UTC,P,,,2013-11-20,,,,,J1772
ELEC,AMERICAN UNIV,4400 Massachusetts Ave NW,,Washington,DC,20016,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,38.9392128,-77.0867615,2015-01-30,64553,2015-01-30 08:56:47 UTC,,,,,,,,,NEMA520 J1772
ELEC,SCANSOURCE,6 Logue Ct,,Greenville,SC,29615,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,34.8554115,-82.2476654,2015-01-30,37058,2015-01-30 08:54:38 UTC,,,,,,,,,NEMA520 J1772
ELEC,NRG eVgo - Whole Foods Market,1550 N Kingsbury St,,Chicago,IL,60642,,877-455-3833,E,,Public - Card key at all times,24 hours daily; eVgo network subscription and key fob required,,,,,,,1,,eVgo Network,https://www.evgonetwork.com/,GPS,41.908643,-87.653248,2015-01-06,64639,2015-01-06 17:49:36 UTC,P,,,2014-11-17,,,,,CHADEMO
ELEC,Round Rock Nissan,3050 N IH-35,,Round Rock,TX,78681,,512-244-8500,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,GPS,30.54205,-97.69265,2015-01-06,39748,2015-01-06 17:44:19 UTC,P,,,2011-03-15,,,,,J1772
ELEC,Grapevine Recreational Area,Daltons Drive,,Grapevine,TX,76051,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,32.979103,-97.054467,2015-01-30,50897,2015-01-30 08:14:45 UTC,,,,,,,,,J1772
ELEC,Roberts Motors,4350 N Alby St,,Alton,IL,62002,,618-466-7220,E,,Public,24 hours daily,,,,,,1,,,,,200-8,38.9217295,-90.1795597,2015-01-06,51747,2015-01-06 17:48:21 UTC,P,,,2013-03-01,,,,,J1772
ELEC,Lafontaine Nissan,2530 E Highland Rd,,Highland,MI,48356,,248-887-8900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-8,42.652932,-83.580487,2015-01-06,49836,2015-01-06 17:44:48 UTC,P,,,2012-10-25,,,,,J1772
ELEC,San Joaquin Valley Air Pollution Control District,1990 E Gettysburg Ave,,Fresno,CA,93726,,559-230-6000,E,,Public,7:30am-5:30pm M-F,,,,,,2,,,,,GPS,36.801411,-119.7881,2015-01-06,49119,2015-01-06 17:47:45 UTC,P,,,2012-07-17,,,,,J1772
ELEC,Mesa Main Library,64 E. 1st Street,,Mesa,AZ,85201,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3,,,Blink Network,http://www.blinknetwork.com/,GPS,33.417273,-111.830484,2015-01-30,49971,2015-01-30 08:15:02 UTC,,,,,,,,,J1772
ELEC,"Spectrum Court, LLC",15433 N. Tatum Blvd.,,Phoenix,AZ,85032,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,33.62729,-111.977262,2015-01-30,46703,2015-01-30 08:12:15 UTC,,,,,,,,,J1772
ELEC,UMKC,5001 Oak St,,Kansas City,MO,64110,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.035998,-94.581594,2015-01-30,49032,2015-01-30 09:04:49 UTC,,,,,,,,,J1772
ELEC,Umstead Hotel and Spa,100 Woodland Pond Dr,N Harrison Ave and SAS Campus Drive,Cary,NC,27513,,866-877-4141,E,,Public,24 hours daily; guest use only,,,,,,2,,,,,GPS,35.82973,-78.7646,2015-01-06,47718,2015-01-06 17:43:29 UTC,T,,,2012-02-01,,,,,J1772
ELEC,Peruzzi Nissan,165 Lincoln Hwy,,Fairless Hills,PA,19030,,215-943-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-8,40.181931,-74.863403,2015-01-06,47757,2015-01-06 17:45:08 UTC,P,,,2012-01-31,,,,,J1772
ELEC,TOWNOFHEMPSTEAD,Lido Blvd,,Point Lookout,NY,11561,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,40.5924759,-73.5844193,2015-01-30,56969,2015-01-30 08:57:48 UTC,,,,,,,,,NEMA520 J1772
ELEC,The Mill Casino,3201 Tremont Ave,,North Bend,OR,97459,,800-953-4800,E,,Public,24 hours daily,,,,,,1,,,,,200-8,43.3946676,-124.2195544,2015-01-06,53982,2015-01-06 17:45:27 UTC,P,,,2013-11-01,,,,,J1772
ELEC,POMONA COLLEGE,E 1st St,,Claremont,CA,91711,,888-758-4389,E,,Public,24 hours daily,,,,,3,3,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,34.0948181,-117.7109222,2015-01-30,41786,2015-01-30 08:52:28 UTC,,,,,,,,,NEMA520 J1772
ELEC,NATIONAL GRID,222 Richmond St,,Providence,RI,02903,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.819064,-71.408276,2015-01-30,52821,2015-01-30 09:09:58 UTC,,,,,,,,,J1772
ELEC,CITYOFSANTAROSA,97 D St,,Santa Rosa,CA,95404,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,38.4394132,-122.7112405,2015-01-30,48143,2015-01-30 08:50:37 UTC,,,,,,,,,NEMA520 J1772
ELEC,Spartanburg Municipal Parking Garage,130 E Saint John St,,Spartanburg,SC,29306,,843-743-6736,E,,Public,24 hours daily,,,,,,2,,,,,200-8,34.9520415,-81.9315933,2015-01-06,36710,2015-01-06 17:47:40 UTC,LG,,,2010-12-15,,,,,J1772
ELEC,Embassy Suites Frisco Hotel & Convention Center --- South Parking Lot,7600 John Q Hammons Drive,,Frisco,TX,75034,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,33.099784,-96.81732,2015-01-30,54216,2015-01-30 08:10:00 UTC,,,,,,,,,J1772
ELEC,CARCHARGING,1 Pennsylvania Plaza,,New York,NY,10119,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,40.75147,-73.9927795,2015-01-30,56001,2015-01-30 08:47:25 UTC,,,,,,,,,NEMA520 J1772
ELEC,EV CHARGER,64-74 NV-592,,Las Vegas,NV,89109,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,36.1147871,-115.1733979,2015-01-30,62226,2015-01-30 09:09:14 UTC,,,,,,,,,J1772
ELEC,Town of Basalt - Midland Spur,100 Midland Spur,,Basalt,CO,81621,,970-927-4701,E,,Public,24 hours daily,,,,,,2,,,,,GPS,39.36902,-107.03572,2015-01-06,63729,2015-01-06 17:48:53 UTC,LG,,,2014-06-01,,,,,J1772
ELEC,OUC,65 W Washington St,,Orlando,FL,32801,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,28.544092,-81.380449,2015-01-30,45006,2015-01-30 08:49:12 UTC,,,,,,,,,NEMA520 J1772
ELEC,MBTA,280 Ivory St,,Braintree,MA,02184,,888-758-4389,E,,Public,24 hours daily,,,,,,5,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,42.205989,-71.000792,2015-01-30,48059,2015-01-30 09:00:28 UTC,,,,,,,,,J1772
ELEC,Inn At The Market,86 Pine Street,,Seattle,WA,98101,,800-663-5633,E,,Public,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,47.6098122,-122.3413016,2015-01-30,65034,2015-01-30 08:35:30 UTC,,,,,,,,,J1772
ELEC,FREEDOM NISSAN,1095 Shelburne Road,,South Burlington,VT,05403,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.mychargepoint.net/,GPS,44.4388342,-73.2109058,2015-01-30,61730,2015-01-30 08:42:38 UTC,,,,,,,,,CHADEMO
ELEC,El Dorado County Government Center,2850 Fairlane Ct,Building C parking lot,Placerville,CA,95667,,530-621-5300,E,,Public,24 hours daily,,,,,,1,,1 SP Inductive,,,GPS,38.72799,-120.828,2013-12-31,25522,2015-01-08 22:23:26 UTC,P,,,2004-05-15,,,,,J1772
ELEC,Crowley Nissan,1451 Farmington Ave,,Bristol,CT,06010,,860-944-7766,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,,,200-8,41.6992932,-72.8956037,2015-01-06,46547,2015-01-06 17:44:48 UTC,P,,,2011-11-22,,,,,J1772
ELEC,UM PTS,646 W Pratt St,,Baltimore,MD,21201,,888-758-4389,E,,Public,24 hours daily,,,,,2,6,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.2863138,-76.6251238,2015-01-30,43195,2015-01-30 08:59:03 UTC,,,,,,,,,NEMA520 J1772
ELEC,Panera Bread - Tesla,3260 Niles Rd,I-94 Exit 27,Saint Joseph,MI,49085,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,8,,Tesla,http://www.teslamotors.com/supercharger,200-8,42.056717,-86.456695,2015-01-06,53692,2015-01-21 00:17:32 UTC,P,,,2013-11-01,,,,,TESLA
ELEC,WEST GERMAN BMW,500 Pennsylvania Ave,,Fort Washington,PA,19034,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,40.134012,-75.2074839,2015-01-30,60455,2015-01-30 09:11:52 UTC,,,,,,,,,J1772
ELEC,Pearson Ford,10650 N Michigan Rd,,Zionsville,IN,46077,,317-873-3333,E,,Public,Dealership business hours,,,,,,2,,,,,200-8,39.9416571,-86.2372927,2015-01-06,52372,2015-01-06 17:47:47 UTC,P,,,2013-03-15,,,,,J1772
ELEC,ABBERLYCROSSING,9698 Patriot Crossing,,Ladson,SC,29456,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,32.9555017,-80.1166499,2015-01-30,58163,2015-01-30 09:09:19 UTC,,,,,,,,,J1772
ELEC,Los Angeles County - Olive View UCLA Medical Center,14445 Olive View Dr,Located just East of the Sheriff substation. Enter off Cobalt St.,Sylmar,CA,91342,,323-881-3919 ,E,,Public,"24 hours daily; keypad activated, instructions on EVSE",,,,,,4,,,,,200-8,34.3257084,-118.4457761,2015-01-06,63738,2015-01-06 17:48:18 UTC,LG,,,2014-10-01,,,,,J1772
ELEC,"Walgreens - Lutherville, MD #12847",1801 York Road,,Lutherville,MD,21093,,800-663-5633,E,,Public - Card key at all times,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.4306377,-76.6208506,2015-01-30,42725,2015-01-30 08:34:21 UTC,,,,,,,,,J1772
ELEC,Kroger Store #308,11003 Shadow Creek Pkwy,,Pearland,TX,77584,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,29.583886,-95.387923,2015-01-30,48237,2015-01-30 08:11:32 UTC,,,,,,,,,J1772
ELEC,"CFP II, LLC",240 E Illinois St,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8911375,-87.6209561,2015-01-30,65015,2015-01-30 09:17:26 UTC,,,,,,,,,J1772
ELEC,Lynchburg Nissan,18588 Forest Rd,,Forest,VA,24551,,434-385-7733,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-8,37.386097,-79.244054,2015-01-06,47555,2015-01-06 17:46:13 UTC,P,,,2012-01-31,,,,,J1772
ELEC,Pittsburgh Zoo,1 Wild Pl,,Pittsburgh,PA,15206,,412-365-2520,E,,Public,24 hours daily,,,,,,1,,,,,GPS,40.484469,-79.922492,2015-01-06,64338,2015-01-06 17:49:06 UTC,P,,,2013-06-12,,,,,J1772
ELEC,CELEBRATION,1999 Central Park Dr,,Okemos,MI,48864,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.727346,-84.421766,2015-01-30,57993,2015-01-30 09:07:27 UTC,,,,,,,,,J1772
ELEC,Woodland Gateway Shopping Center,County Rd 102 & Maxwell Ave,Off I-5 near Sacramento,Woodland,CA,95776,,916-442-4600,E,,Public,24 hours daily,,,,,3,2,,1 SP Inductive  1 Tesla Conductive,,,GPS,38.668736,-121.7287,2015-01-06,35839,2015-01-06 17:49:41 UTC,P,,,2009-05-15,,,,,NEMA520 J1772
ELEC,NATIONAL GRID,Suny at Albany,,Albany,NY,12222,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.6883686,-73.8230666,2015-01-30,53436,2015-01-30 09:05:52 UTC,,,,,,,,,J1772
ELEC,WHOLE FOODS MKT,1150 Ocean Ave,,San Francisco,CA,94112,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,37.7238308,-122.4547812,2015-01-30,50062,2015-01-30 09:03:39 UTC,,,,,,,,,J1772
ELEC,Loring Ramp,1330 Nicollet Ave,"Located on the third level of the ramp, clearly marked and reserved for EV charging.",Minneapolis,MN,55403,,612-455-0702,E,,Public,Garage business hours; pay lot,,,,,2,,,,,,200-8,44.9698324,-93.2778249,2015-01-06,60310,2015-01-06 17:44:14 UTC,LG,,,2014-01-01,,,,,NEMA520
ELEC,NRG eVgo - Walgreens Freedom Station,130 N Oakridge Dr,,Hudson Oaks,TX,76087,,877-455-3833,E,,Public - Card key at all times,24 hours daily; eVgo network subscription and key fob required,,,,,1,1,1,,eVgo Network,https://www.evgonetwork.com/,GPS,32.75774,-97.71054,2015-01-06,50410,2015-01-06 17:44:27 UTC,P,,,2012-11-15,,,,,NEMA520 J1772 CHADEMO
ELEC,Lodi Animals Service and Shelter,1345 W Kettleman Ln,,Lodi,CA,95242,,209-333-6815,E,,Public,24 hours daily,,,,,,1,,,,,200-8,38.1155339,-121.2889381,2015-01-06,51921,2015-01-06 17:48:02 UTC,LG,,,2013-03-19,,,,,J1772
ELEC,I-64 East Rest Stop,I-64 E and VA-155,I-64 between milepost 214 and 213 in Virginia,Providence Forge,VA,23140,,800-367-7623,E,,Public,24 hours daily,,,,,4,,,,Shorepower,http://www.shorepower.com/,GPS,37.499039,-77.04316,2015-01-06,35167,2015-01-06 17:48:42 UTC,SG,,,2012-06-01,,,,,NEMA520
ELEC,Suntek Business Center - NPM,9450 SW Barnes Rd,,Portland,OR,97086,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,4,,,Blink Network,http://www.blinknetwork.com/,GPS,45.508692,-122.774947,2015-01-30,45026,2015-01-30 08:12:45 UTC,,,,,,,,,J1772
ELEC,Fairview Town Hall,372 Town Place,,Fairview,TX,75069,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,33.13232,-96.64707,2015-01-30,48788,2015-01-30 08:13:15 UTC,,,,,,,,,J1772
ELEC,Wright Automotive Group,10520 Perry Hwy,,Wexford,PA,15090,,724-935-4646,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-8,40.610479,-80.053036,2015-01-06,47796,2015-01-06 17:45:14 UTC,P,,,2012-01-31,,,,,J1772
ELEC,Bert Ogden Nissan,721 N Jackson Rd,,McAllen,TX,78501,,956-631-6666,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-8,26.2067894,-98.203314,2015-01-06,47533,2015-01-06 17:43:48 UTC,P,,,2012-01-31,,,,,J1772
ELEC,Camden County Regional Library - Bellmawr Branch,35 East Browning Road,,Bellmawr,NJ,08031,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,39.8665027,-75.0775904,2015-01-30,51808,2015-01-30 08:14:14 UTC,,,,,,,,,J1772
